crime_rating,distance,weight_safest_12,weight_safest_14,weight_safest_18,weight_shortest,osm_start_id,osm_end_id
0.0,0.0895,0.0895,0.0895,0.0895,0.0895,434668679,434670503
376.0,0.19972,0.66696,0.35547,0.26647,0.19972,435831525,435824442
15.5,0.02528,0.04454,0.0317,0.02803,0.02528,435831525,65305454
78.0,0.02184,0.11877,0.05415,0.03569,0.02184,436983705,65324124
52.5,0.02553,0.09077,0.04728,0.03485,0.02553,436983705,436982949
16.0,0.03446,0.05434,0.04109,0.0373,0.03446,436983705,65282954
166.5,0.09837,0.30527,0.16734,0.12793,0.09837,440322586,612730169
13.0,0.02179,0.03794,0.02717,0.0241,0.02179,440322586,440319317
84.0,0.01858,0.12296,0.05337,0.03349,0.01858,440322586,440322432
12.0,0.30664,0.32155,0.31161,0.30877,0.30664,440853802,274469272
0.0,0.0098,0.0098,0.0098,0.0098,0.0098,440853802,65307500
0.0,0.03167,0.03167,0.03167,0.03167,0.03167,440853802,343556274
4.5,0.0451,0.05069,0.04696,0.0459,0.0451,440853802,440853806
10.5,0.04926,0.06231,0.05361,0.05112,0.04926,442442424,446745301
6.5,0.0111,0.01918,0.01379,0.01225,0.0111,442442424,442442423
29.0,0.00466,0.0407,0.01667,0.00981,0.00466,442855272,442862159
86.0,0.0152,0.12207,0.05082,0.03047,0.0152,442855272,442855265
28.0,0.00858,0.04337,0.02018,0.01355,0.00858,442855272,442855278
103.5,0.03534,0.16396,0.07821,0.05371,0.03534,446754616,446754636
22.5,0.03306,0.06102,0.04238,0.03705,0.03306,446754616,446745338
10.0,0.00187,0.0143,0.00601,0.00365,0.00187,446754616,446754615
24.5,0.06536,0.09581,0.07551,0.06971,0.06536,448100060,65308296
32.5,0.09386,0.13425,0.10732,0.09963,0.09386,448100060,65319009
38.0,0.08786,0.13508,0.1036,0.09461,0.08786,448100060,65329095
127.0,0.08584,0.24366,0.13845,0.10839,0.08584,448104973,65315836
77.0,0.03184,0.12753,0.06374,0.04551,0.03184,448104973,1723739183
75.5,0.01433,0.10815,0.0456,0.02773,0.01433,448104973,448105180
78.0,0.0048,0.10173,0.03711,0.01865,0.0048,448104973,65318338
60.0,0.07223,0.14679,0.09708,0.08288,0.07223,466309412,466308597
13.5,0.06691,0.08369,0.0725,0.06931,0.06691,466309412,65343404
18.0,0.00558,0.02795,0.01304,0.00878,0.00558,466309412,65343401
6.0,0.02398,0.03144,0.02647,0.02505,0.02398,469713544,65297106
6.0,0.02397,0.03143,0.02646,0.02504,0.02397,469713544,65309566
6.5,0.13289,0.14097,0.13558,0.13404,0.13289,469713544,469713575
5.0,0.01164,0.01785,0.01371,0.01253,0.01164,469713847,469713592
5.0,0.01262,0.01883,0.01469,0.01351,0.01262,469713847,65309571
37.0,0.31046,0.35644,0.32579,0.31703,0.31046,469713847,65362309
7.5,0.14229,0.15161,0.1454,0.14362,0.14229,505925490,1555295542
5.5,0.03426,0.04109,0.03654,0.03524,0.03426,505925490,65310602
0.0,0.08699,0.08699,0.08699,0.08699,0.08699,521076901,432621668
0.0,0.01217,0.01217,0.01217,0.01217,0.01217,521076901,521076834
0.0,0.01105,0.01105,0.01105,0.01105,0.01105,521076901,65376831
2.0,0.02563,0.02812,0.02646,0.02599,0.02563,525164195,525164236
2.0,0.06736,0.06985,0.06819,0.06772,0.06736,525164195,65321834
6.5,0.01992,0.028,0.02261,0.02107,0.01992,528142976,528142975
12.5,0.09283,0.10836,0.09801,0.09505,0.09283,528142976,1511349578
6.0,0.02166,0.02912,0.02415,0.02273,0.02166,528190282,528177605
11.5,0.07367,0.08796,0.07843,0.07571,0.07367,528190282,65345441
0.0,0.02543,0.02543,0.02543,0.02543,0.02543,528522054,65329747
0.0,0.0096,0.0096,0.0096,0.0096,0.0096,528522054,65314817
0.0,0.0208,0.0208,0.0208,0.0208,0.0208,528522054,65375939
7.0,0.02306,0.03176,0.02596,0.0243,0.02306,529091997,65328894
7.0,0.0083,0.017,0.0112,0.00954,0.0083,529091997,65328773
57.5,0.09535,0.1668,0.11917,0.10556,0.09535,529092006,274467892
7.0,0.00901,0.01771,0.01191,0.01025,0.00901,529092006,65289992
14.0,0.03664,0.05404,0.04244,0.03913,0.03664,529092006,343539712
20.5,0.10043,0.1259,0.10892,0.10407,0.10043,529092006,2179344035
0.0,0.11523,0.11523,0.11523,0.11523,0.11523,529093451,529093410
0.0,0.27483,0.27483,0.27483,0.27483,0.27483,529093451,528177550
0.0,0.0813,0.0813,0.0813,0.0813,0.0813,529093451,529093431
0.0,0.00728,0.00728,0.00728,0.00728,0.00728,529097202,529097311
0.0,0.0105,0.0105,0.0105,0.0105,0.0105,529097202,343573545
0.5,0.01397,0.01459,0.01418,0.01406,0.01397,529097202,65289916
74.0,0.13304,0.225,0.16369,0.14618,0.13304,529097202,613315059
2.0,0.02859,0.03108,0.02942,0.02895,0.02859,529120204,529120211
79.5,0.11987,0.21866,0.1528,0.13398,0.11987,539989856,539989855
99.5,0.03411,0.15776,0.07533,0.05177,0.03411,539989856,65293760
78.0,0.00702,0.10395,0.03933,0.02087,0.00702,539989856,65317548
36.0,0.02619,0.07093,0.0411,0.03258,0.02619,553539964,553539972
9.0,0.00611,0.01729,0.00984,0.00771,0.00611,553539964,315420641
18.0,0.00781,0.03018,0.01527,0.01101,0.00781,553539964,65316820
15.0,0.0891,0.10774,0.09531,0.09176,0.0891,553539964,315420239
16.0,0.0101,0.02998,0.01673,0.01294,0.0101,581251756,260494523
54.5,0.03403,0.10176,0.05661,0.04371,0.03403,581251756,260494525
15.5,0.02411,0.04337,0.03053,0.02686,0.02411,581251756,65369329
6.0,0.08785,0.09531,0.09034,0.08892,0.08785,589498601,589498591
5.5,0.09176,0.09859,0.09404,0.09274,0.09176,589498601,595495874
3.5,0.06424,0.06859,0.06569,0.06486,0.06424,589498601,317126816
3.0,0.06267,0.0664,0.06391,0.0632,0.06267,589498601,317126597
4.0,0.04718,0.05215,0.04884,0.04789,0.04718,599157324,599157318
0.5,0.03547,0.03609,0.03568,0.03556,0.03547,599157324,599157333
75.5,0.00881,0.10263,0.04008,0.02221,0.00881,599157334,599157340
16.5,0.00716,0.02766,0.01399,0.01009,0.00716,599157334,65303399
7.5,0.01124,0.02056,0.01435,0.01257,0.01124,601284477,65302916
23.0,0.03775,0.06633,0.04728,0.04183,0.03775,601284477,65315429
8.0,0.02943,0.03937,0.03274,0.03085,0.02943,601284477,65363963
27.5,0.01809,0.05226,0.02948,0.02297,0.01809,610182408,610182409
31.0,0.05048,0.089,0.06332,0.05598,0.05048,610182408,65341003
27.5,0.00933,0.0435,0.02072,0.01421,0.00933,610182408,65340999
14.0,0.04995,0.06735,0.05575,0.05244,0.04995,611394152,611394151
40.5,0.10768,0.15801,0.12446,0.11487,0.10768,611394152,65335612
47.0,0.01093,0.06934,0.0304,0.01927,0.01093,612027255,65305863
47.5,0.02102,0.08005,0.0407,0.02945,0.02102,612027255,316735268
23.0,0.01387,0.04245,0.0234,0.01795,0.01387,612027255,65305859
1.5,0.03458,0.03644,0.0352,0.03485,0.03458,612571639,311781835
23.5,0.04984,0.07904,0.05957,0.05401,0.04984,612571639,259407152
2.5,0.02094,0.02405,0.02198,0.02138,0.02094,612571639,65311717
10.0,0.0025,0.01493,0.00664,0.00428,0.0025,612715733,612717119
40.0,0.00894,0.05865,0.02551,0.01604,0.00894,612715733,612715052
8.5,0.08639,0.09695,0.08991,0.0879,0.08639,612715733,553539947
23.5,0.00921,0.03841,0.01894,0.01338,0.00921,612716404,65291647
9.0,0.00493,0.01611,0.00866,0.00653,0.00493,612716404,612718456
112.0,0.05214,0.19132,0.09853,0.07202,0.05214,612716404,1201411453
57.5,0.02049,0.09194,0.04431,0.0307,0.02049,612726655,65311245
20.5,0.02074,0.04621,0.02923,0.02438,0.02074,612726655,65311243
101.5,0.1756,0.30173,0.21764,0.19362,0.1756,612726655,260168596
